,vehicle_number,data_type,created_timestamp,lat,long,data_timestamp,vehicle_mode,odometer,speed,soc,dte,ac_status
0,DL1ZC4589,NEMO_VEHICLE_LOCATION,01-02-20 5:59,28.56429697,77.3355185,01-02-20 5:57,,,,,,
1,DL1ZC6002,NEMO_VEHICLE_LOCATION,01-02-20 5:59,28.6392789,77.22333958,01-02-20 5:57,,,,,,
2,DL1ZC6004,NEMO_VEHICLE_LOCATION,01-02-20 5:59,28.49601123,77.08426122,01-02-20 5:57,,,,,,
3,DL1ZC6078,NEMO_VEHICLE_CLUSTER,01-02-20 5:59,,,01-02-20 5:58,,,,,,
4,DL1ZC6078,NEMO_VEHICLE_STATUS,01-02-20 5:59,,,01-02-20 5:58,Idle,30857,0,100,140,Off
5,DL1ZC6066,NEMO_VEHICLE_LOCATION,01-02-20 5:59,28.49718135,77.0828334,01-02-20 5:58,,,,,,
6,DL1ZC6079,NEMO_VEHICLE_CLUSTER,01-02-20 5:59,,,01-02-20 5:57,,,,,,
7,DL1ZC5939,NEMO_VEHICLE_CLUSTER,01-02-20 5:59,,,01-02-20 5:59,,,,,,
8,DL1ZC5976,NEMO_VEHICLE_LOCATION,01-02-20 5:59,0,0,01-02-20 5:59,,,,,,
9,DL1ZC5943,NEMO_VEHICLE_LOCATION,01-02-20 5:59,28.49671335,77.0839326,01-02-20 5:59,,,,,,
10,DL1ZC5985,NEMO_VEHICLE_LOCATION,01-02-20 5:59,28.49682235,77.08269935,01-02-20 5:57,,,,,,
11,DL1ZC5999,NEMO_VEHICLE_LOCATION,01-02-20 5:59,28.49702273,77.0827055,31-01-20 17:12,,,,,,
12,DL1ZC6056,NEMO_VEHICLE_CLUSTER,01-02-20 5:59,,,01-02-20 5:57,,,,,,
13,DL1ZC5917,NEMO_VEHICLE_CLUSTER,01-02-20 5:59,,,01-02-20 5:59,,,,,,
14,DL1ZC5969,NEMO_VEHICLE_CLUSTER,01-02-20 5:59,,,31-01-20 14:03,,,,,,
15,DL1ZC5922,NEMO_VEHICLE_CLUSTER,01-02-20 5:59,,,01-02-20 5:13,,,,,,
16,DL1ZC5999,NEMO_VEHICLE_CLUSTER,01-02-20 5:59,,,31-01-20 17:12,,,,,,
17,DL1ZC6079,NEMO_VEHICLE_STATUS,01-02-20 5:59,,,01-02-20 5:57,Idle,20283,0,100,140,Off
18,DL1ZC6056,NEMO_VEHICLE_STATUS,01-02-20 5:59,,,01-02-20 5:57,Idle,31632,0,52,68,Off
19,DL1ZC6056,NEMO_VEHICLE_LOCATION,01-02-20 5:59,28.40965302,77.00043092,01-02-20 5:57,,,,,,
20,DL1ZC5943,NEMO_VEHICLE_CLUSTER,01-02-20 5:59,,,01-02-20 5:59,,,,,,
21,DL1ZC5917,NEMO_VEHICLE_LOCATION,01-02-20 5:59,28.49702123,77.0826357,01-02-20 5:59,,,,,,
22,DL1ZC6078,NEMO_VEHICLE_LOCATION,01-02-20 5:59,28.49527758,77.08536488,01-02-20 5:58,,,,,,
23,DL1ZC6079,NEMO_VEHICLE_LOCATION,01-02-20 5:59,28.49569108,77.08496838,01-02-20 5:57,,,,,,
24,DL1ZC6066,NEMO_VEHICLE_CLUSTER,01-02-20 5:59,,,01-02-20 5:58,,,,,,
25,DL1ZC4589,NEMO_VEHICLE_CLUSTER,01-02-20 5:59,,,01-02-20 5:57,,,,,,
26,DL1ZC6004,NEMO_VEHICLE_CLUSTER,01-02-20 5:59,,,01-02-20 5:57,,,,,,
27,DL1ZC5985,NEMO_VEHICLE_CLUSTER,01-02-20 5:59,,,01-02-20 5:57,,,,,,
28,DL1ZC6002,NEMO_VEHICLE_CLUSTER,01-02-20 5:59,,,01-02-20 5:57,,,,,,
29,DL1ZC5939,NEMO_VEHICLE_LOCATION,01-02-20 5:59,28.43450358,77.10569995,01-02-20 5:59,,,,,,
30,DL1ZC5922,NEMO_VEHICLE_LOCATION,01-02-20 5:59,28.4635522,77.50695962,01-02-20 5:13,,,,,,
31,DL1ZC5976,NEMO_VEHICLE_CLUSTER,01-02-20 5:59,,,01-02-20 5:59,,,,,,
32,DL1ZC5969,NEMO_VEHICLE_LOCATION,01-02-20 5:59,28.43546632,77.04818853,31-01-20 14:03,,,,,,
33,DL1ZC5939,NEMO_VEHICLE_STATUS,01-02-20 5:59,,,01-02-20 5:59,FC,28280,0,47,66,Off
34,DL1ZC5969,NEMO_VEHICLE_STATUS,01-02-20 5:59,,,31-01-20 14:03,Idle,32051,0,42,56,Off
35,DL1ZC5917,NEMO_VEHICLE_STATUS,01-02-20 5:59,,,01-02-20 5:59,Idle,22628,0,93,123,Off
36,DL1ZC5922,NEMO_VEHICLE_STATUS,01-02-20 5:59,,,01-02-20 5:13,Drive,27270,18.5,59,81,Off
37,DL1ZC6002,NEMO_VEHICLE_STATUS,01-02-20 5:59,,,01-02-20 5:57,Drive,38561,0,66,90,On
38,DL1ZC5943,NEMO_VEHICLE_STATUS,01-02-20 5:59,,,01-02-20 5:59,Idle,30538,0,100,139,Off
39,DL1ZC6004,NEMO_VEHICLE_STATUS,01-02-20 5:59,,,01-02-20 5:57,Idle,38022,0,100,140,Off
40,DL1ZC4589,NEMO_VEHICLE_STATUS,01-02-20 5:59,,,01-02-20 5:57,Idle,48696,0,39,47,Off
41,DL1ZC6066,NEMO_VEHICLE_STATUS,01-02-20 5:59,,,01-02-20 5:58,FC,33000,0,91,127,Off
42,DL1ZC5985,NEMO_VEHICLE_STATUS,01-02-20 5:59,,,01-02-20 5:57,Idle,21741,0,100,139,Off
43,DL1ZC5976,NEMO_VEHICLE_STATUS,01-02-20 5:59,,,01-02-20 5:59,Idle,32614,0,100,140,Off
44,DL1ZC5999,NEMO_VEHICLE_STATUS,01-02-20 5:59,,,31-01-20 17:12,Drive,29305,1,1,0,Off
45,DL1ZC4589,NEMO_VEHICLE_LOCATION,01-02-20 5:57,28.56429783,77.33551777,01-02-20 5:55,,,,,,
46,DL1ZC6002,NEMO_VEHICLE_LOCATION,01-02-20 5:57,28.639279,77.22333962,01-02-20 5:55,,,,,,
47,DL1ZC6004,NEMO_VEHICLE_LOCATION,01-02-20 5:57,28.49601123,77.08426122,01-02-20 5:55,,,,,,
48,DL1ZC6066,NEMO_VEHICLE_LOCATION,01-02-20 5:57,28.49718135,77.0828334,01-02-20 5:56,,,,,,
49,DL1ZC6078,NEMO_VEHICLE_CLUSTER,01-02-20 5:57,,,01-02-20 5:56,,,,,,
50,DL1ZC6079,NEMO_VEHICLE_CLUSTER,01-02-20 5:57,,,01-02-20 5:55,,,,,,
51,DL1ZC6079,NEMO_VEHICLE_STATUS,01-02-20 5:57,,,01-02-20 5:55,Idle,20283,0,100,140,Off
52,DL1ZC6078,NEMO_VEHICLE_STATUS,01-02-20 5:57,,,01-02-20 5:56,Idle,30857,0,100,140,Off
53,DL1ZC5985,NEMO_VEHICLE_LOCATION,01-02-20 5:57,28.49682235,77.08269935,01-02-20 5:55,,,,,,
54,DL1ZC5999,NEMO_VEHICLE_LOCATION,01-02-20 5:57,28.49702273,77.0827055,31-01-20 17:12,,,,,,
55,DL1ZC6056,NEMO_VEHICLE_CLUSTER,01-02-20 5:57,,,01-02-20 5:55,,,,,,
56,DL1ZC5917,NEMO_VEHICLE_CLUSTER,01-02-20 5:57,,,01-02-20 5:56,,,,,,
57,DL1ZC5922,NEMO_VEHICLE_CLUSTER,01-02-20 5:57,,,01-02-20 5:13,,,,,,
58,DL1ZC5976,NEMO_VEHICLE_LOCATION,01-02-20 5:57,0,0,01-02-20 5:57,,,,,,
59,DL1ZC5943,NEMO_VEHICLE_LOCATION,01-02-20 5:57,28.49671335,77.0839326,01-02-20 5:57,,,,,,
60,DL1ZC5969,NEMO_VEHICLE_CLUSTER,01-02-20 5:57,,,31-01-20 14:03,,,,,,
61,DL1ZC5939,NEMO_VEHICLE_CLUSTER,01-02-20 5:57,,,01-02-20 5:57,,,,,,
62,DL1ZC6079,NEMO_VEHICLE_LOCATION,01-02-20 5:57,28.49569108,77.08496838,01-02-20 5:55,,,,,,
63,DL1ZC6066,NEMO_VEHICLE_CLUSTER,01-02-20 5:57,,,01-02-20 5:56,,,,,,
64,DL1ZC6078,NEMO_VEHICLE_LOCATION,01-02-20 5:57,28.49527758,77.08536488,01-02-20 5:56,,,,,,
65,DL1ZC5917,NEMO_VEHICLE_LOCATION,01-02-20 5:57,28.49702123,77.0826357,01-02-20 5:56,,,,,,
66,DL1ZC5969,NEMO_VEHICLE_LOCATION,01-02-20 5:57,28.43546632,77.04818853,31-01-20 14:03,,,,,,
67,DL1ZC5922,NEMO_VEHICLE_LOCATION,01-02-20 5:57,28.4635522,77.50695962,01-02-20 5:13,,,,,,
68,DL1ZC6056,NEMO_VEHICLE_LOCATION,01-02-20 5:57,28.40964713,77.00043492,01-02-20 5:55,,,,,,
69,DL1ZC5939,NEMO_VEHICLE_LOCATION,01-02-20 5:57,28.43450358,77.10569995,01-02-20 5:57,,,,,,
70,DL1ZC6002,NEMO_VEHICLE_CLUSTER,01-02-20 5:57,,,01-02-20 5:55,,,,,,
71,DL1ZC4589,NEMO_VEHICLE_CLUSTER,01-02-20 5:57,,,01-02-20 5:55,,,,,,
72,DL1ZC6004,NEMO_VEHICLE_CLUSTER,01-02-20 5:57,,,01-02-20 5:55,,,,,,
73,DL1ZC5943,NEMO_VEHICLE_CLUSTER,01-02-20 5:57,,,01-02-20 5:57,,,,,,
74,DL1ZC5976,NEMO_VEHICLE_CLUSTER,01-02-20 5:57,,,01-02-20 5:57,,,,,,
75,DL1ZC6056,NEMO_VEHICLE_STATUS,01-02-20 5:57,,,01-02-20 5:55,Idle,31632,0,52,68,Off
76,DL1ZC5939,NEMO_VEHICLE_STATUS,01-02-20 5:57,,,01-02-20 5:57,FC,28280,0,46,64,Off
77,DL1ZC5917,NEMO_VEHICLE_STATUS,01-02-20 5:57,,,01-02-20 5:56,Idle,22628,0,93,123,Off
